Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:00.000,61,0.016707465052604675,0.06306667625904083,0.14974460005760193,0.0,0.0,0.3428589999675751,0.042234715074300766,0.0,0.11832121759653091,0.05358701944351196,0.0499260313808918,0.0,0.38398873805999756,0.0,0.022131338715553284,0.0,0.049227021634578705,0.0,0.0,0.054907478392124176,0.09720299392938614,0.0,0.0,0.07268363237380981,0.09253515303134918,0.0,0.0,0.0,0.06851615011692047,0.09830292314291,0.0,0.10226704180240631,0.05231497809290886,0.0,0.0,0.0,0.12328905612230301,0.0,0.0,0.08368660509586334,0.10697069764137268,0.1973622441291809,0.24215897917747498,0.2562907040119171,0.09468056261539459,0.0,0.0,0.15562859177589417,0.291474848985672,0.17986969649791718,0.14705875515937805,0.0,0.12585517764091492,0.0,0.01035273913294077,0.0,0.0,0.0,0.06002183258533478,0.004213716834783554,0.0
00:00:00:01.000,61,0.020625978708267212,0.06974051892757416,0.1527959108352661,0.0,0.0,0.33967530727386475,0.03986528143286705,0.0,0.12567782402038574,0.05219661444425583,0.05124761536717415,0.0,0.3837208151817322,0.0,0.021216213703155518,0.0,0.048875533044338226,0.0,0.0,0.05876927822828293,0.10039694607257843,0.0,0.0,0.06308777630329132,0.08298243582248688,0.0,0.0,0.0,0.06797169148921967,0.09861939400434494,0.0,0.10271820425987244,0.05238030478358269,0.0,0.0,0.0,0.12366814911365509,0.0,0.0,0.08366681635379791,0.10715389251708984,0.20049351453781128,0.2431676983833313,0.2611261308193207,0.09765371680259705,0.0,0.0,0.15819144248962402,0.29214316606521606,0.18056976795196533,0.14600956439971924,0.0,0.1282309889793396,0.0,0.01010680291801691,0.0,0.0,0.0,0.060708969831466675,0.008132949471473694,0.0
00:00:00:02.000,61,0.012499675154685974,0.05879710614681244,0.1517448127269745,0.0,0.0,0.34915637969970703,0.043546225875616074,0.0,0.11478210985660553,0.05347033590078354,0.04991209879517555,0.0,0.38929283618927,0.0,0.022522278130054474,0.0,0.05007963627576828,0.0,0.0,0.05906395614147186,0.10002222657203674,0.0,0.0,0.07464990019798279,0.09346258640289307,0.0,0.0,0.0,0.06873445957899094,0.09919220954179764,0.0,0.10268647968769073,0.05294860899448395,0.0,0.0,0.0,0.12347874045372009,0.0,0.0,0.08402912318706512,0.10723799467086792,0.19865351915359497,0.2449696958065033,0.2571742832660675,0.09266284108161926,0.0,0.0,0.15681593120098114,0.2957153916358948,0.18160049617290497,0.14799350500106812,0.0,0.12478525936603546,0.0,0.010355752892792225,0.0,0.0,0.0,0.06125003099441528,0.0028658807277679443,0.0
00:00:00:03.000,61,0.011061996221542358,0.05503411591053009,0.15405303239822388,0.0,0.0,0.3503539562225342,0.04515635594725609,0.0,0.11229898780584335,0.05363084375858307,0.050888899713754654,0.0,0.3868573307991028,0.0013573933392763138,0.023884430527687073,0.0,0.05084320157766342,0.0,0.0,0.05655050277709961,0.10108788311481476,0.0,0.0,0.08207843452692032,0.10075187683105469,0.0,0.0,0.0,0.06946932524442673,0.09920639544725418,0.0,0.10408110916614532,0.054003044962882996,0.0,0.0,0.0,0.12412752956151962,0.0012827366590499878,0.0,0.08430470526218414,0.10776519775390625,0.19613617658615112,0.24325191974639893,0.2533668875694275,0.08950763940811157,0.0,0.0,0.15714922547340393,0.29655390977859497,0.18163703382015228,0.1493702530860901,0.0,0.12335418164730072,0.0,0.01075070071965456,0.0,0.0,0.0,0.06400716304779053,0.0017398074269294739,0.0
00:00:00:04.000,61,0.003209829330444336,0.047700271010398865,0.15188130736351013,0.0,0.0,0.35638508200645447,0.047779377549886703,0.0,0.1037270575761795,0.05525565147399902,0.04985133185982704,0.0,0.3925185203552246,0.006560580804944038,0.02590925246477127,0.0,0.051769278943538666,0.0,0.0,0.05852155387401581,0.10100705921649933,0.0,0.0,0.09205441921949387,0.10928615927696228,0.0,0.0,0.0,0.06988523155450821,0.09957192093133926,0.0,0.10420510172843933,0.054920293390750885,0.0,0.0,0.0,0.12367955595254898,0.002325102686882019,0.0,0.08419017493724823,0.10717877745628357,0.19782444834709167,0.2425975203514099,0.25399085879325867,0.08552271127700806,0.0,0.0,0.15820153057575226,0.29608455300331116,0.18258053064346313,0.15047752857208252,0.0,0.12204085290431976,0.0,0.010855116881430149,0.0,0.0,0.0,0.06361618638038635,0.0,0.0
00:00:00:05.000,61,2.084672451019287e-05,0.044295862317085266,0.15180739760398865,0.0,0.0,0.35626113414764404,0.049727912992239,0.0,0.09998702257871628,0.05588701367378235,0.04944275692105293,0.0,0.3903372883796692,0.010257022455334663,0.02617911994457245,0.0,0.05193211883306503,0.0,0.0,0.05618532747030258,0.10145403444766998,0.0,0.0,0.09669879078865051,0.11321340501308441,0.0,0.0,0.0,0.07049603015184402,0.09940474480390549,0.0,0.10466505587100983,0.05534686520695686,0.0,0.0,0.0,0.12382329255342484,0.002020031213760376,0.0,0.08315964788198471,0.10599476099014282,0.19650903344154358,0.23951640725135803,0.2510574460029602,0.08189055323600769,0.0,0.0,0.15765763819217682,0.2921302616596222,0.18105342984199524,0.15006010234355927,0.0,0.1195250153541565,0.0,0.009597205556929111,0.0,0.0,0.0,0.06523392349481583,0.0,0.0
00:00:00:06.000,61,0.0,0.04527465999126434,0.1519468128681183,0.0,0.0,0.3583596348762512,0.04945876821875572,0.0,0.09959817677736282,0.056279003620147705,0.048963744193315506,0.0,0.3949388265609741,0.010322602465748787,0.027303017675876617,0.0,0.05324598401784897,0.0,0.0,0.0579637736082077,0.09932762384414673,0.0,0.0,0.10816525667905807,0.123639777302742,0.0,0.0,0.0,0.0711844339966774,0.10104302316904068,0.0,0.10381956398487091,0.0555848628282547,0.0,0.0,0.0,0.12298424541950226,0.009251855313777924,0.0,0.08520825952291489,0.1077740490436554,0.20084109902381897,0.24088767170906067,0.25816401839256287,0.0815134346485138,0.0,0.0,0.16189023852348328,0.29432570934295654,0.18368233740329742,0.15121085941791534,0.0,0.11912472546100616,0.0,0.009757478721439838,0.0,0.0,0.0,0.06504888087511063,0.0,0.0
00:00:00:07.000,61,0.0,0.04314355552196503,0.15262672305107117,0.0,0.0,0.3572678565979004,0.05140304192900658,0.0,0.09646686911582947,0.056793272495269775,0.04942961409687996,0.0,0.3931945562362671,0.013477521017193794,0.028109580278396606,0.0,0.05331488698720932,0.0,0.0,0.05560743808746338,0.10080394148826599,0.0,0.0,0.11288097500801086,0.12768369913101196,0.0,0.0,0.0,0.07183842360973358,0.10051684826612473,0.0,0.10483516752719879,0.05631585419178009,0.0,0.0,0.0,0.12336304038763046,0.0031968876719474792,0.0,0.08332870155572891,0.10564985871315002,0.20087102055549622,0.23556336760520935,0.2568059265613556,0.07680056989192963,0.0,0.0,0.16274647414684296,0.28745806217193604,0.18115252256393433,0.14926749467849731,0.0,0.11737367510795593,0.0,0.0076947519555687904,0.0,0.0,0.0,0.06688445806503296,0.0,0.0
00:00:00:08.000,61,0.0,0.046567484736442566,0.15476351976394653,0.0,0.0,0.3581806719303131,0.05088910087943077,0.0,0.09765186160802841,0.055793583393096924,0.050197768956422806,0.0,0.39581602811813354,0.012500496581196785,0.028653651475906372,0.0,0.053194187581539154,0.0,0.0,0.0570230707526207,0.1005353331565857,0.0,0.0,0.11701585352420807,0.13066397607326508,0.0,0.0,0.0,0.07237711548805237,0.10094057768583298,0.0,0.10501399636268616,0.05658002197742462,0.0,0.0,0.0,0.12343750149011612,0.0,0.0,0.0835069939494133,0.10549360513687134,0.20410069823265076,0.23443090915679932,0.2598886787891388,0.07453247904777527,0.0,0.0,0.16655683517456055,0.28412479162216187,0.18071822822093964,0.1478760838508606,0.0,0.11894744634628296,0.0,0.007009168155491352,0.0,0.0,0.0,0.06802047044038773,0.0,0.0
00:00:00:09.000,61,0.0,0.04504866898059845,0.15459346771240234,0.0,0.0,0.3580016493797302,0.05209070071578026,0.0,0.09428311139345169,0.055257007479667664,0.04986019805073738,0.0,0.3914251923561096,0.015618594363331795,0.028208568692207336,0.0,0.05202483385801315,0.0,0.0,0.05099453777074814,0.09687361866235733,0.0,0.0,0.12057020515203476,0.13386906683444977,0.0,0.0,0.0,0.0728181004524231,0.09930143505334854,0.0,0.105024054646492,0.05615231394767761,0.0,0.0,0.0,0.12346618622541428,0.0,0.0,0.08248975872993469,0.10421918332576752,0.19954955577850342,0.23115354776382446,0.25249019265174866,0.06896129250526428,0.0,0.0,0.1641518473625183,0.2777818441390991,0.17716585099697113,0.14698511362075806,0.0,0.11720497906208038,0.0,0.006917149759829044,0.0,0.0,0.0,0.07005971670150757,0.0,0.0
