Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:00.000,61,0.11370433866977692,0.10422272980213165,0.09622553735971451,0.0,0.0,0.10285743325948715,0.004116889089345932,0.1122770830988884,0.09674510359764099,0.09570962190628052,0.009562257677316666,0.004691099748015404,0.08620110899209976,0.0,0.0,0.0,0.0,0.0,0.13603337109088898,0.0,0.12008777260780334,0.0,0.0,0.07641281187534332,0.0,0.0,0.0,0.0,0.04698319733142853,0.04438354820013046,0.0,0.08777584135532379,0.0,0.08342965692281723,0.0,0.054527848958969116,0.06254030019044876,0.30287015438079834,0.2969321012496948,0.02384871244430542,0.027719080448150635,0.03881829231977463,0.019551217555999756,0.1108214408159256,0.012812197208404541,0.0,0.011157762259244919,0.07177317887544632,0.06391330063343048,0.1012907475233078,0.07985340803861618,0.0,0.06236858665943146,0.0,0.029995007440447807,0.0,0.06289456784725189,0.0,0.018163926899433136,0.05702484771609306,0.0
00:00:00:01.000,61,0.11270728707313538,0.10269898176193237,0.09487394243478775,0.0,0.0,0.1025952622294426,0.005130846053361893,0.11027709394693375,0.09517338871955872,0.0970299243927002,0.009293053299188614,0.005771225318312645,0.08577773720026016,0.0,0.0,0.0,0.0,0.0,0.1366509199142456,0.0,0.12181788682937622,0.0,0.0,0.07025204598903656,0.0,0.0,0.0,0.0,0.04669014364480972,0.043835029006004333,0.0,0.08808328211307526,0.0,0.08456345647573471,0.0,0.05439923703670502,0.06277315318584442,0.29345354437828064,0.2878774106502533,0.02105119824409485,0.024731367826461792,0.03787674754858017,0.019150510430336,0.10828429460525513,0.011673033237457275,0.0,0.011618133634328842,0.06834066659212112,0.061085112392902374,0.09895364940166473,0.07852204889059067,0.0,0.06179700791835785,0.0,0.029790116474032402,0.0,0.06209641322493553,0.0,0.01724151521921158,0.0565963052213192,0.0
00:00:00:02.000,61,0.10669462382793427,0.0935695618391037,0.09498444944620132,0.0,0.0,0.11330311745405197,0.010710958391427994,0.10339487344026566,0.08576835691928864,0.09784838557243347,0.008885357528924942,0.011047815904021263,0.09865681082010269,0.0036658011376857758,0.0,0.0,0.0,0.0,0.13876378536224365,0.0,0.12207507342100143,0.0,0.0,0.0790756493806839,0.0,0.0,0.0,0.0,0.04662700742483139,0.04282014071941376,0.0,0.08820612728595734,0.0,0.08416933566331863,0.0,0.05449473857879639,0.06246640160679817,0.29296809434890747,0.28623563051223755,0.021067187190055847,0.024215951561927795,0.041277848184108734,0.021003708243370056,0.11012457311153412,0.009405910968780518,0.0,0.01032504066824913,0.07023001462221146,0.06319522857666016,0.09806637465953827,0.0776979848742485,0.0,0.05888549983501434,0.0,0.028116462752223015,0.0,0.05623185262084007,0.0,0.014798499643802643,0.049276527017354965,0.0
00:00:00:03.000,61,0.10324563831090927,0.08917416632175446,0.09446118026971817,0.0,0.0,0.11795098334550858,0.01296817883849144,0.09974490851163864,0.08122722804546356,0.09827536344528198,0.007810924202203751,0.01294085942208767,0.10386703163385391,0.0057099126279354095,0.0,0.0,0.0,0.0,0.14051058888435364,0.0,0.12443509697914124,0.0,0.0,0.07673496007919312,0.0,0.0,0.0,0.0,0.04643449932336807,0.042137034237384796,0.0,0.08836077153682709,0.0,0.08439207822084427,0.0,0.05436566472053528,0.06213082745671272,0.2929978668689728,0.2862519919872284,0.020158469676971436,0.023320868611335754,0.04281830042600632,0.021588414907455444,0.1101427674293518,0.007589578628540039,0.0,0.010678518563508987,0.06972063332796097,0.06295611709356308,0.09743037819862366,0.07708626240491867,0.0,0.058992668986320496,0.0,0.026884926483035088,0.0,0.05326489731669426,0.0,0.013990245759487152,0.04550765082240105,0.0
00:00:00:04.000,61,0.09632337093353271,0.08135707676410675,0.09602706879377365,0.0,0.0,0.12924104928970337,0.01681489869952202,0.09425418823957443,0.0731506198644638,0.09662410616874695,0.006113562732934952,0.01558423601090908,0.11686516553163528,0.00983947142958641,0.0,0.0,0.0,0.0,0.14327391982078552,0.0,0.12625569105148315,0.0,0.0,0.08280515670776367,0.0,0.0,0.0,0.0,0.04624723643064499,0.041586607694625854,0.0,0.0873488038778305,0.0,0.0821213498711586,0.0,0.05377018451690674,0.060838598757982254,0.30692100524902344,0.29906973242759705,0.02252684161067009,0.025476589798927307,0.04736509174108505,0.02311226725578308,0.11536151170730591,0.005563974380493164,0.0,0.0107237808406353,0.07518462091684341,0.06795509904623032,0.09993038326501846,0.07693352550268173,0.0,0.058616265654563904,0.0,0.02458070032298565,0.0,0.0477716289460659,0.0,0.014009706676006317,0.03729233518242836,0.0
00:00:00:05.000,61,0.0962967574596405,0.08259284496307373,0.09801138192415237,0.0,0.0,0.13009607791900635,0.015735957771539688,0.09456398338079453,0.07434338331222534,0.09492316842079163,0.006192091852426529,0.013440972194075584,0.11628983169794083,0.007730122655630112,0.0,0.0,0.0,0.0,0.14366939663887024,0.0,0.1278529316186905,0.0,0.0,0.07731038331985474,0.0,0.0,0.0,0.0,0.04623483121395111,0.04117231070995331,0.0,0.08602814376354218,0.0,0.08022867888212204,0.0,0.05302730202674866,0.059524815529584885,0.3114188313484192,0.303556889295578,0.02329954504966736,0.026161551475524902,0.047067753970623016,0.022462159395217896,0.11724897474050522,0.005562484264373779,0.0,0.012050274759531021,0.07617286592721939,0.06920111924409866,0.1014995127916336,0.07698865979909897,0.0,0.061938002705574036,0.0,0.0244606863707304,0.0,0.0487726591527462,0.0,0.016634739935398102,0.03770529851317406,0.0
00:00:00:06.000,61,0.0979616791009903,0.08291588723659515,0.10286057740449905,0.0,0.0,0.13511481881141663,0.01675570383667946,0.09685366600751877,0.07457107305526733,0.09179967641830444,0.00756937637925148,0.013368120416998863,0.12199191004037857,0.009640928357839584,0.0,0.0,0.0,0.0,0.14412516355514526,0.0,0.12574094533920288,0.0,0.0,0.09099221229553223,0.0,0.0,0.0,0.0,0.047556035220623016,0.04291453957557678,0.0,0.08435939252376556,0.0,0.07563086599111557,0.0,0.05277438461780548,0.05817924812436104,0.3293691873550415,0.32046258449554443,0.028799891471862793,0.031624965369701385,0.04947073012590408,0.02297593653202057,0.12251788377761841,0.006142169237136841,0.0,0.01063639298081398,0.08203238993883133,0.07444383949041367,0.10544261336326599,0.07863163203001022,0.0,0.06292082369327545,0.0,0.02373368851840496,0.0,0.04928743466734886,0.0,0.01906014233827591,0.03645096346735954,0.0
00:00:00:07.000,61,0.09779522567987442,0.08253776282072067,0.10562583059072495,0.0,0.0,0.13972419500350952,0.01783556118607521,0.09684578329324722,0.07404261827468872,0.08988675475120544,0.008476246148347855,0.013657873496413231,0.12718147039413452,0.01061611995100975,0.0,0.0,0.0,0.0,0.14373935759067535,0.0,0.12638650834560394,0.0,0.0,0.09221147000789642,0.0,0.0,0.0,0.0,0.04747074097394943,0.042985476553440094,0.0,0.08357314765453339,0.0,0.0753629207611084,0.0,0.05275537073612213,0.05788368359208107,0.3368626832962036,0.3279397189617157,0.03176270052790642,0.03485220670700073,0.0518513098359108,0.024273820221424103,0.12456659227609634,0.005323261022567749,0.0,0.010628681629896164,0.08497751504182816,0.07693371176719666,0.10793153196573257,0.08058152347803116,0.0,0.06570623815059662,0.0,0.02371826581656933,0.0,0.04885007068514824,0.0,0.020892567932605743,0.03523143008351326,0.0
00:00:00:08.000,61,0.10355736315250397,0.08713434636592865,0.10913335531949997,0.0,0.0,0.13775599002838135,0.016943510621786118,0.10248298197984695,0.07895837724208832,0.08816634118556976,0.010750029236078262,0.012163868173956871,0.12487805634737015,0.010152008384466171,0.0,0.0,0.0,0.0,0.14325222373008728,0.0,0.12572352588176727,0.0,0.0,0.09680190682411194,0.0,0.0,0.0,0.0,0.048381656408309937,0.04432927072048187,0.0,0.0830933004617691,0.0,0.07426396012306213,0.0,0.0531284362077713,0.05796081945300102,0.3407982587814331,0.331745982170105,0.03417913615703583,0.03735010325908661,0.05103180557489395,0.02356792241334915,0.12556728720664978,0.0069370269775390625,0.0,0.009596113115549088,0.0862758532166481,0.0780457928776741,0.1097550094127655,0.0818469449877739,0.0,0.06710685789585114,0.0,0.02478291653096676,0.0,0.05255093798041344,0.0,0.023031286895275116,0.03888807073235512,0.0
00:00:00:09.000,61,0.10549694299697876,0.09034550189971924,0.10998933762311935,0.0,0.0,0.13489466905593872,0.015216808766126633,0.10450588911771774,0.08221802115440369,0.08776460587978363,0.011347491294145584,0.00996408425271511,0.12061337381601334,0.007735874503850937,0.0,0.0,0.0,0.0,0.14119267463684082,0.0,0.1246880441904068,0.0,0.0,0.09453962743282318,0.0,0.0,0.0,0.0,0.04824001342058182,0.04363907128572464,0.0,0.08277739584445953,0.0,0.07428427040576935,0.0,0.052904367446899414,0.05769332870841026,0.3384445309638977,0.3296709358692169,0.03411496430635452,0.03722531348466873,0.049322135746479034,0.022221416234970093,0.12534020841121674,0.007522374391555786,0.0,0.010095473378896713,0.08542419224977493,0.07741829752922058,0.10987129807472229,0.08145547658205032,0.0,0.06861500442028046,0.0,0.025352975353598595,0.0,0.0549623928964138,0.0,0.024664707481861115,0.04196406528353691,0.0
