Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:00.000,61,0.1090584471821785,0.10457085072994232,0.10350967198610306,0.0,0.0,0.11188198626041412,0.0037411265075206757,0.11120229214429855,0.09608578681945801,0.08762818574905396,0.006357703357934952,0.0,0.09377635270357132,0.0,0.0,0.0,0.0,0.0,0.13550791144371033,0.0,0.12243401259183884,0.0,0.0,0.07059422135353088,0.0,0.0,0.0,0.0,0.047385118901729584,0.0429360494017601,0.0,0.08669234812259674,0.0,0.08075647801160812,0.0,0.05395244061946869,0.05993656441569328,0.333493709564209,0.32773053646087646,0.03048403188586235,0.03486812859773636,0.04329269379377365,0.019627206027507782,0.11968685686588287,0.008578047156333923,0.0,0.015969078987836838,0.08008597046136856,0.07224508374929428,0.10832855850458145,0.07908303290605545,0.0,0.07103700935840607,0.0,0.028684331104159355,0.0,0.06299041211605072,0.0,0.027158521115779877,0.05429741367697716,0.0
00:00:00:01.000,61,0.10784325748682022,0.1045645996928215,0.10317330807447433,0.0,0.0,0.11114327609539032,0.003321375697851181,0.11070867627859116,0.09592361748218536,0.0870453268289566,0.0050499774515628815,0.0,0.09251625090837479,0.0,0.0,0.0,0.0,0.0,0.13547740876674652,0.0,0.1251903921365738,0.0,0.0,0.062983438372612,0.0,0.0,0.0,0.0,0.04668471962213516,0.042308688163757324,0.0,0.08573861420154572,0.0,0.0809267982840538,0.0,0.053332120180130005,0.05947418510913849,0.33241474628448486,0.3269050717353821,0.029763538390398026,0.034017615020275116,0.04273303598165512,0.018728293478488922,0.11872927099466324,0.00770193338394165,0.0,0.01740497723221779,0.07860306650400162,0.07125571370124817,0.10779672861099243,0.07814625650644302,0.0,0.0722651332616806,0.0,0.02845822088420391,0.0,0.06268185377120972,0.0,0.028246469795703888,0.053843285888433456,0.0
00:00:00:02.000,61,0.10387510806322098,0.0980701744556427,0.10263148695230484,0.0,0.0,0.11887938529253006,0.007034987211227417,0.10430825501680374,0.08890937268733978,0.08834169805049896,0.00595194473862648,0.0019502993673086166,0.10253912955522537,0.0,0.0,0.0,0.0,0.0,0.1368473768234253,0.0,0.12556877732276917,0.0,0.0,0.07146941125392914,0.0,0.0,0.0,0.0,0.04629397392272949,0.041985318064689636,0.0,0.08641643822193146,0.0,0.08241627365350723,0.0,0.053702905774116516,0.06020089611411095,0.33306771516799927,0.3271045684814453,0.029624488204717636,0.033814847469329834,0.04614976793527603,0.021931611001491547,0.12029530853033066,0.005985349416732788,0.0,0.015279676765203476,0.08077637106180191,0.07300586998462677,0.1072470173239708,0.07894027978181839,0.0,0.06943686306476593,0.0,0.028241096064448357,0.0,0.05831566080451012,0.0,0.02503151446580887,0.049584683030843735,0.0
00:00:00:03.000,61,0.09950141608715057,0.09144438803195953,0.10088963061571121,0.0,0.0,0.12544073164463043,0.010487917810678482,0.0985429510474205,0.08210967481136322,0.08999747037887573,0.005872327834367752,0.006966626271605492,0.11140397936105728,0.003136005252599716,0.0,0.0,0.0,0.0,0.13874199986457825,0.0,0.12723597884178162,0.0,0.0,0.07484491169452667,0.0,0.0,0.0,0.0,0.04567798227071762,0.04155588895082474,0.0,0.08707921206951141,0.0,0.08411770313978195,0.0,0.0538887083530426,0.060936447232961655,0.3318758010864258,0.3258000910282135,0.028496086597442627,0.03277614712715149,0.04924909025430679,0.024724885821342468,0.12010908871889114,0.004363894462585449,0.0,0.01380511000752449,0.08129788190126419,0.07334353774785995,0.10619565844535828,0.0799155905842781,0.0,0.06720392405986786,0.0,0.02751287631690502,0.0,0.05338480696082115,0.0,0.021653182804584503,0.04449208453297615,0.0
00:00:00:04.000,61,0.09426605701446533,0.0841708704829216,0.10121231526136398,0.0,0.0,0.1345522403717041,0.014702290296554565,0.0930967703461647,0.07477843761444092,0.08893381059169769,0.0054666586220264435,0.01110791228711605,0.1232125535607338,0.009548570960760117,0.0,0.0,0.0,0.00014288723468780518,0.14209169149398804,0.0,0.13036362826824188,0.0,0.0,0.07719968259334564,0.0,0.0,0.0,0.0,0.045251987874507904,0.04087556153535843,0.0,0.08834563195705414,0.0,0.08603542298078537,0.0,0.054045408964157104,0.061594415456056595,0.33352547883987427,0.3269919455051422,0.02725374698638916,0.03141564130783081,0.05361223965883255,0.027680255472660065,0.12253938615322113,0.002044975757598877,0.0,0.013011317700147629,0.08423248678445816,0.07603645324707031,0.10666681826114655,0.08015788346529007,0.0,0.06577043235301971,0.0,0.026749281212687492,0.0,0.04825672134757042,0.0,0.020448021590709686,0.038332756608724594,0.0
00:00:00:05.000,61,0.09023218601942062,0.07888538390398026,0.10017474740743637,0.0,0.0,0.1383923590183258,0.017115630209445953,0.08993200957775116,0.06964263319969177,0.08873908221721649,0.004231426864862442,0.013692369684576988,0.12807533144950867,0.012411769479513168,0.0,0.0,0.0,0.002049095928668976,0.14432436227798462,0.0,0.13367068767547607,0.0,0.0,0.07268930971622467,0.0,0.0,0.0,0.0,0.044503919780254364,0.040062084794044495,0.0,0.08739621937274933,0.0,0.08522630482912064,0.0,0.05313742160797119,0.060781653970479965,0.33095085620880127,0.32401737570762634,0.025217901915311813,0.02894367277622223,0.054481588304042816,0.02755417674779892,0.1222396269440651,0.0009510815143585205,0.0,0.013402365148067474,0.08292890340089798,0.07509519159793854,0.10541272908449173,0.07869916409254074,0.0,0.06518886983394623,0.0,0.025962231680750847,0.0,0.04459528252482414,0.0,0.01957576721906662,0.03361620381474495,0.0
00:00:00:06.000,61,0.09026499092578888,0.07493239641189575,0.10337159782648087,0.0,0.0,0.14596548676490784,0.021496716886758804,0.08940055966377258,0.06610095500946045,0.08713525533676147,0.0054657794535160065,0.016754796728491783,0.1372191309928894,0.01751580461859703,0.0,0.0,0.0,0.0035367757081985474,0.14661964774131775,0.0,0.1341308355331421,0.0,0.0,0.08148394525051117,0.0,0.0,0.0,0.0,0.045412831008434296,0.04093027114868164,0.0,0.08766718208789825,0.0,0.08409417420625687,0.0,0.053512901067733765,0.06087749823927879,0.3354644179344177,0.3276946544647217,0.026864223182201385,0.03027591109275818,0.05703889578580856,0.02828425168991089,0.12492384761571884,0.0,0.0,0.011754017323255539,0.08598316460847855,0.07747185230255127,0.10687682032585144,0.07853757590055466,0.0,0.06412099301815033,0.0,0.02516419254243374,0.0,0.04289877042174339,0.0,0.02006259560585022,0.030099879950284958,0.0
00:00:00:07.000,61,0.08737033605575562,0.06978466361761093,0.10401017218828201,0.0,0.0,0.15286225080490112,0.02525639906525612,0.08657342195510864,0.06132928654551506,0.08716371655464172,0.005547825247049332,0.020000344142317772,0.14541414380073547,0.021355342119932175,0.0,0.0,0.0,0.0028842613101005554,0.14713016152381897,0.0,0.13480477035045624,0.0,0.0,0.08409951627254486,0.0,0.0,0.0,0.0,0.04524044692516327,0.04052992910146713,0.0,0.08739857375621796,0.0,0.08436546474695206,0.0,0.05370628833770752,0.0610877089202404,0.3335951566696167,0.3253675401210785,0.027144785970449448,0.03031681478023529,0.059124656021595,0.028961777687072754,0.12586534023284912,0.0,0.0,0.010992813855409622,0.08756301552057266,0.07862932980060577,0.1072625070810318,0.07827641814947128,0.0,0.06317083537578583,0.0,0.024250006303191185,0.0,0.039639826864004135,0.0,0.019465230405330658,0.025547321885824203,0.0
00:00:00:08.000,61,0.0914827287197113,0.0717257559299469,0.10703166574239731,0.0,0.0,0.15425795316696167,0.02602287381887436,0.08970100432634354,0.06371930241584778,0.08553013205528259,0.007154453545808792,0.01991370879113674,0.1467393934726715,0.02235795184969902,0.0,0.0,0.0,0.0032994747161865234,0.14721503853797913,0.0,0.1351245492696762,0.0,0.0,0.08705304563045502,0.0,0.0,0.0,0.0,0.04583524167537689,0.04120216518640518,0.0,0.08778394758701324,0.0,0.084762804210186,0.0,0.054286226630210876,0.06177237257361412,0.3365609049797058,0.3281739056110382,0.02873779460787773,0.03197018802165985,0.05964345484972,0.02911171317100525,0.12688268721103668,0.0,0.0,0.009859606623649597,0.08938653022050858,0.08022583276033401,0.10902467370033264,0.0792149230837822,0.0,0.06441821157932281,0.0,0.02478482387959957,0.0,0.041632991284132004,0.0,0.021289728581905365,0.02736174687743187,0.0
00:00:00:09.000,61,0.09059552848339081,0.0706145316362381,0.10573165863752365,0.0,0.0,0.15472280979156494,0.026361588388681412,0.0886879414319992,0.06262999773025513,0.08674070239067078,0.006702784448862076,0.020906781777739525,0.14733123779296875,0.02278086170554161,0.0,0.0,0.0,0.003324069082736969,0.14607736468315125,0.0,0.13378077745437622,0.0,0.0,0.08767837285995483,0.0,0.0,0.0,0.0,0.04563874006271362,0.04100482910871506,0.0,0.0875987559556961,0.0,0.08453936874866486,0.0,0.05428634583950043,0.061781372874975204,0.33632129430770874,0.3279625475406647,0.028731822967529297,0.03195708990097046,0.059550367295742035,0.028894931077957153,0.12588167190551758,0.0,0.0,0.009451139718294144,0.08866692334413528,0.07959482073783875,0.10869799554347992,0.07928872853517532,0.0,0.064099982380867,0.0,0.024467764422297478,0.0,0.040559377521276474,0.0,0.02016245573759079,0.026200946420431137,0.0
