Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:00.000,61,0.14277289807796478,0.12105315923690796,0.13655449450016022,0.0,0.0,0.14681345224380493,0.0,0.1429467350244522,0.12153203785419464,0.013631805777549744,0.0,0.0073179686442017555,0.1465945541858673,0.010720936581492424,0.0565013661980629,0.0,0.0,0.10121898353099823,0.0,0.0,0.048514433205127716,0.0,0.0,0.18066182732582092,0.0,0.0,0.0,0.034285612404346466,0.04204937070608139,0.09733159095048904,0.09476359188556671,0.0,0.0,0.1202579215168953,0.0709429532289505,0.06486953794956207,0.07373438775539398,0.0,0.14305034279823303,0.08340851217508316,0.0,0.09542118012905121,0.09516295045614243,0.10419398546218872,0.0,0.022496258839964867,0.0,0.11301874369382858,0.11096750199794769,0.10268643498420715,0.11595693230628967,0.0,0.05083179473876953,0.0342927910387516,0.029561171308159828,0.012305100448429585,0.07116624712944031,0.0,0.08261353522539139,0.07119668275117874,0.007625344209372997
00:00:00:01.000,61,0.14001651108264923,0.1191415935754776,0.13638725876808167,0.0,0.0,0.1490495204925537,0.0,0.14019936323165894,0.11961241811513901,0.013906942680478096,0.0,0.007967380806803703,0.14882715046405792,0.012232482433319092,0.056924544274806976,0.0,0.0,0.1037587821483612,0.0,0.0,0.05016870051622391,0.0,0.0,0.17841094732284546,0.0,0.0,0.0,0.034484945237636566,0.042314715683460236,0.10014692693948746,0.0972500890493393,0.0,0.0,0.12149213254451752,0.0734088122844696,0.06587806344032288,0.07346861064434052,0.0,0.14630518853664398,0.0864255502820015,0.0,0.09549583494663239,0.09523823857307434,0.1055966317653656,0.0,0.02253706566989422,0.0,0.11474364250898361,0.11272350698709488,0.10394467413425446,0.11720455437898636,0.0,0.050891339778900146,0.03189650550484657,0.028810376301407814,0.011999353766441345,0.06978918612003326,0.0,0.08244314789772034,0.06982008367776871,0.0075864968821406364
00:00:00:02.000,61,0.13394849002361298,0.11493339389562607,0.13601908087730408,0.0,0.0,0.1539720743894577,0.0,0.1341511607170105,0.1153864786028862,0.014512641355395317,0.0,0.00939702708274126,0.15374210476875305,0.015560070052742958,0.056008435785770416,0.0,0.0,0.11160870641469955,0.0,0.0,0.05198897793889046,0.0,0.0,0.18467658758163452,0.0,0.0,0.0,0.0341591015458107,0.04163032025098801,0.10348992049694061,0.10007072985172272,0.0,0.0,0.11581364274024963,0.06891688704490662,0.06452962756156921,0.07060228288173676,0.0,0.15673312544822693,0.09088069945573807,0.0,0.09566018730401993,0.0954039916396141,0.1086844652891159,0.0,0.02262689732015133,0.0,0.11854091286659241,0.11658924072980881,0.106714628636837,0.11995111405849457,0.0,0.051022425293922424,0.026621215045452118,0.02715754322707653,0.011326268315315247,0.06675766408443451,0.0,0.0820680484175682,0.06678957492113113,0.007500976789742708
00:00:00:03.000,61,0.13789193332195282,0.11766818910837173,0.1362583488225937,0.0,0.0,0.1507730334997177,0.0,0.13808172941207886,0.11813279986381531,0.014119014143943787,0.0,0.008467938750982285,0.15054801106452942,0.013397559523582458,0.058284562081098557,0.0,0.0,0.11937705427408218,0.0,0.0,0.052940160036087036,0.0,0.0,0.18009883165359497,0.0,0.0,0.0,0.03387065976858139,0.041754864156246185,0.10799022018909454,0.10521641373634338,0.0,0.0,0.11422043293714523,0.06952399015426636,0.06337441504001617,0.06859025359153748,0.0,0.16333365440368652,0.09542257338762283,0.0,0.09555337578058243,0.09529627859592438,0.10667776316404343,0.0,0.022568518295884132,0.0,0.11607316881418228,0.11407700181007385,0.10491450875997543,0.11816620081663132,0.0,0.0509372353553772,0.030049486085772514,0.028231674805283546,0.011763688176870346,0.0687277689576149,0.0,0.08231181651353836,0.068759024143219,0.007556553930044174
00:00:00:04.000,61,0.13229075074195862,0.11378374695777893,0.1359184980392456,0.0,0.0,0.15531687438488007,0.0,0.1324988454580307,0.11423198878765106,0.014678113162517548,0.0,0.009787593968212605,0.15508483350276947,0.016469137743115425,0.061668042093515396,0.0,0.0,0.13202884793281555,0.0,0.0,0.05479633808135986,0.0,0.0,0.17285415530204773,0.0,0.0,0.0,0.03249751031398773,0.04082172363996506,0.11003568023443222,0.11017458140850067,0.0,0.0,0.10650575906038284,0.06213115155696869,0.05815204977989197,0.06495082378387451,0.0,0.1773199439048767,0.09974556416273117,0.0,0.09570508450269699,0.09544927626848221,0.10952803492546082,0.0,0.022651437669992447,0.0,0.1195782944560051,0.11764533072710037,0.10747135430574417,0.12070145457983017,0.0,0.05105823650956154,0.02518005110323429,0.02670600265264511,0.011142387054860592,0.06592947989702225,0.0,0.08196557313203812,0.06596166640520096,0.007477613165974617
00:00:00:05.000,61,0.13229075074195862,0.11378374695777893,0.1359184980392456,0.0,0.0,0.15531687438488007,0.0,0.1324988454580307,0.11423198878765106,0.014678113162517548,0.0,0.009787593968212605,0.15508483350276947,0.016469137743115425,0.06392277777194977,0.0,0.0,0.13568729162216187,0.0,0.0,0.05416218936443329,0.0,0.0,0.1662611961364746,0.0,0.0,0.0,0.030766626819968224,0.04009941965341568,0.11143891513347626,0.11473466455936432,0.0,0.0,0.10520216822624207,0.05992750823497772,0.05516904219985008,0.06264496594667435,0.0,0.21032190322875977,0.1112896129488945,0.0,0.09570508450269699,0.09544927626848221,0.10952803492546082,0.0,0.022651437669992447,0.0,0.1195782944560051,0.11764533072710037,0.10747135430574417,0.12070145457983017,0.0,0.05105823650956154,0.02518005110323429,0.02670600265264511,0.011142387054860592,0.06592947989702225,0.0,0.08196557313203812,0.06596166640520096,0.007477613165974617
00:00:00:06.000,61,0.1344345062971115,0.12246917188167572,0.14379554986953735,0.0,0.0,0.15710701048374176,0.0,0.1346643567085266,0.12300535291433334,0.011963550932705402,0.0,0.008223172277212143,0.15686462819576263,0.01514438446611166,0.06500156223773956,0.0,0.0,0.14034152030944824,0.0,0.0,0.055615801364183426,0.0,0.0,0.1689111292362213,0.0,0.0,0.0,0.03087334893643856,0.040201179683208466,0.11332403868436813,0.11790448427200317,0.0,0.0,0.1017075926065445,0.056424468755722046,0.054104000329971313,0.061798784881830215,0.0,0.2300426959991455,0.11874227970838547,0.0,0.10033924877643585,0.10010061413049698,0.11383882164955139,0.0,0.02261638455092907,0.0,0.12768612802028656,0.12588272988796234,0.11369473487138748,0.1280316710472107,0.0,0.054234568029642105,0.036105185747146606,0.026706602424383163,0.01593855209648609,0.071762315928936,0.0,0.08663076162338257,0.07179070264101028,0.008068555034697056
00:00:00:07.000,61,0.13401350378990173,0.12413584440946579,0.14577241241931915,0.0,0.0,0.1572226881980896,0.0,0.13428500294685364,0.12469340860843658,0.011359978467226028,0.0,0.008164620958268642,0.15697762370109558,0.015097999013960361,0.06461456418037415,0.0,0.0,0.14193975925445557,0.0,0.0,0.05997427925467491,0.0,0.0,0.16004294157028198,0.0,0.0,0.0,0.030199384316802025,0.03910102695226669,0.11253426223993301,0.11859963834285736,0.0,0.0,0.10467754304409027,0.05579504370689392,0.05413565784692764,0.0618402361869812,0.0,0.23378720879554749,0.1199144646525383,0.0,0.10133972018957138,0.1011098176240921,0.11442027986049652,0.0,0.02238411456346512,0.0,0.1286141276359558,0.12680833041667938,0.11465214192867279,0.1292506903409958,0.0,0.055058881640434265,0.038653094321489334,0.026385506615042686,0.017150724306702614,0.07283739745616913,0.0,0.08784350752830505,0.07286438345909119,0.00825592502951622
00:00:00:08.000,61,0.134597510099411,0.13189274072647095,0.1535511314868927,0.0,0.0,0.15845723450183868,0.0,0.13494837284088135,0.13253603875637054,0.008803478442132473,0.0,0.007153721060603857,0.15820182859897614,0.014247076585888863,0.06377075612545013,0.0,0.0,0.1482345312833786,0.0,0.0,0.06434917449951172,0.0,0.0,0.15826138854026794,0.0,0.0,0.0,0.030029138550162315,0.03802305459976196,0.11196155101060867,0.11677873134613037,0.0,0.0,0.09885357320308685,0.049944259226322174,0.05176299065351486,0.06001495197415352,0.0,0.22385111451148987,0.11557649821043015,0.0,0.1056562289595604,0.1054503545165062,0.11787739396095276,0.0,0.021992281079292297,0.0,0.1348516047000885,0.1331179141998291,0.1198316365480423,0.13549737632274628,0.0,0.05823899805545807,0.04913190007209778,0.02587258815765381,0.021900618448853493,0.07797600328922272,0.0,0.09251751750707626,0.07799854129552841,0.008901934139430523
00:00:00:09.000,61,0.13575302064418793,0.13339954614639282,0.15447968244552612,0.0,0.0,0.1589822918176651,0.0,0.13607236742973328,0.13405385613441467,0.008410358801484108,0.0,0.00665482971817255,0.15872573852539062,0.013821607455611229,0.06332729011774063,0.0,0.0,0.14859196543693542,0.0,0.0,0.06873433291912079,0.0,0.0,0.15405282378196716,0.0,0.0,0.0,0.029985738918185234,0.03758130222558975,0.11161337792873383,0.11592110991477966,0.0,0.0,0.09977633506059647,0.05018903315067291,0.051850393414497375,0.060039687901735306,0.0,0.20825526118278503,0.11032300442457199,0.0,0.10635550320148468,0.10614749044179916,0.11885659396648407,0.0,0.022198520600795746,0.0,0.13684922456741333,0.13516369462013245,0.12113425880670547,0.1369456797838211,0.0,0.05858784168958664,0.05060227960348129,0.02617507427930832,0.022457975894212723,0.07902953773736954,0.0,0.09302794933319092,0.07905203849077225,0.008934819139540195
